"Time (sec.)"	"Cycles"	"P1"
10.953668000	10953668	217.000000000
11.019204000	11019204	191.000000000
11.084756000	11084756	127.000000000
11.150308000	11150308	63.000000000
11.215844000	11215844	37.000000000
11.281396000	11281396	17.000000000
11.346491000	11346491	0.000000000
11.412467000	11412467	17.000000000
11.477987000	11477987	37.000000000
11.543523000	11543523	63.000000000
11.609045000	11609045	127.000000000
11.674563000	11674563	191.000000000
11.740099000	11740099	217.000000000
11.805635000	11805635	237.000000000
11.871171000	11871171	255.000000000
11.936707000	11936707	237.000000000
12.002243000	12002243	217.000000000
12.067779000	12067779	191.000000000
12.133331000	12133331	127.000000000
12.198883000	12198883	63.000000000
12.264419000	12264419	37.000000000
12.329971000	12329971	17.000000000
12.395066000	12395066	0.000000000
12.461044000	12461044	17.000000000
12.526564000	12526564	37.000000000
12.592100000	12592100	63.000000000
12.657622000	12657622	127.000000000
12.723140000	12723140	191.000000000
12.788676000	12788676	217.000000000
12.854212000	12854212	237.000000000
12.919748000	12919748	255.000000000
12.985284000	12985284	237.000000000
13.050820000	13050820	217.000000000
13.116356000	13116356	191.000000000
13.181908000	13181908	127.000000000
13.247460000	13247460	63.000000000
13.312996000	13312996	37.000000000
13.378548000	13378548	17.000000000
13.443643000	13443643	0.000000000
13.509619000	13509619	17.000000000
13.575139000	13575139	37.000000000
13.640675000	13640675	63.000000000
13.706197000	13706197	127.000000000
13.771715000	13771715	191.000000000
13.837251000	13837251	217.000000000
13.902787000	13902787	237.000000000
13.968323000	13968323	255.000000000
14.033859000	14033859	237.000000000
14.099395000	14099395	217.000000000
14.164931000	14164931	191.000000000
14.230483000	14230483	127.000000000
14.296035000	14296035	63.000000000
14.361571000	14361571	37.000000000
14.427123000	14427123	17.000000000
14.492218000	14492218	0.000000000
14.558196000	14558196	17.000000000
14.623716000	14623716	37.000000000
14.689252000	14689252	63.000000000
14.754774000	14754774	127.000000000
14.820292000	14820292	191.000000000
14.885828000	14885828	217.000000000
14.951364000	14951364	237.000000000
15.016900000	15016900	255.000000000
15.082436000	15082436	237.000000000
15.147972000	15147972	217.000000000
15.213508000	15213508	191.000000000
15.279060000	15279060	127.000000000
15.344612000	15344612	63.000000000
15.410148000	15410148	37.000000000
15.475700000	15475700	17.000000000
15.540795000	15540795	0.000000000
15.606771000	15606771	17.000000000
15.672291000	15672291	37.000000000
15.737827000	15737827	63.000000000
15.803349000	15803349	127.000000000
15.868867000	15868867	191.000000000
15.934403000	15934403	217.000000000
15.999939000	15999939	237.000000000
16.065475000	16065475	255.000000000
16.131011000	16131011	237.000000000
16.196547000	16196547	217.000000000
16.262083000	16262083	191.000000000
16.327635000	16327635	127.000000000
16.393187000	16393187	63.000000000
16.458723000	16458723	37.000000000
16.524275000	16524275	17.000000000
16.589370000	16589370	0.000000000
16.655348000	16655348	17.000000000
16.720868000	16720868	37.000000000
16.786404000	16786404	63.000000000
16.851926000	16851926	127.000000000
16.917444000	16917444	191.000000000
16.982980000	16982980	217.000000000
17.048516000	17048516	237.000000000
17.114052000	17114052	255.000000000
17.179588000	17179588	237.000000000
17.245124000	17245124	217.000000000
17.310660000	17310660	191.000000000
17.376212000	17376212	127.000000000
17.441764000	17441764	63.000000000
17.507300000	17507300	37.000000000
17.572852000	17572852	17.000000000
17.637947000	17637947	0.000000000
17.703923000	17703923	17.000000000
17.769443000	17769443	37.000000000
17.834979000	17834979	63.000000000
17.900501000	17900501	127.000000000
17.966019000	17966019	191.000000000
18.031555000	18031555	217.000000000
18.097091000	18097091	237.000000000
18.162627000	18162627	255.000000000
18.228163000	18228163	237.000000000
18.293699000	18293699	217.000000000
18.359235000	18359235	191.000000000
18.424787000	18424787	127.000000000
18.490339000	18490339	63.000000000
18.555875000	18555875	37.000000000
18.621427000	18621427	17.000000000
18.686522000	18686522	0.000000000
18.752500000	18752500	17.000000000
18.818020000	18818020	37.000000000
18.883556000	18883556	63.000000000
18.949078000	18949078	127.000000000
19.014596000	19014596	191.000000000
19.080132000	19080132	217.000000000
19.145668000	19145668	237.000000000
19.211204000	19211204	255.000000000
19.276740000	19276740	237.000000000
19.342276000	19342276	217.000000000
19.407812000	19407812	191.000000000
19.473364000	19473364	127.000000000
19.538916000	19538916	63.000000000
19.604452000	19604452	37.000000000
19.670004000	19670004	17.000000000
19.735099000	19735099	0.000000000
19.801075000	19801075	17.000000000
19.866595000	19866595	37.000000000
19.932131000	19932131	63.000000000
19.997653000	19997653	127.000000000
20.063171000	20063171	191.000000000
20.128707000	20128707	217.000000000
20.194243000	20194243	237.000000000
20.259779000	20259779	255.000000000
20.325315000	20325315	237.000000000
20.390851000	20390851	217.000000000
20.456387000	20456387	191.000000000
20.521939000	20521939	127.000000000
20.587491000	20587491	63.000000000
20.653027000	20653027	37.000000000
20.718579000	20718579	17.000000000
20.783674000	20783674	0.000000000
20.849652000	20849652	17.000000000
20.915172000	20915172	37.000000000
20.980708000	20980708	63.000000000
21.046230000	21046230	127.000000000
21.111748000	21111748	191.000000000
21.177284000	21177284	217.000000000
21.242820000	21242820	237.000000000
21.308356000	21308356	255.000000000
21.373892000	21373892	237.000000000
21.439428000	21439428	217.000000000
21.504964000	21504964	191.000000000
21.570516000	21570516	127.000000000
21.636068000	21636068	63.000000000
